sourceAppId,targetAppId,preferential_attachment
u16025,9443,1250
u8200,9443,125
u7120,9443,375
u613645,9443,0
u38502,9443,125
u12303,9443,125
u7492,9443,750
u45333,9443,125
u997851,9443,375
u6622,9443,375
u6048,9443,375
u286260,9443,0
u892960,9443,0
u943,9443,125
u703612,9443,1000
u9975,9443,125
u913280,9443,1125
u187822,9443,125
u898099,9443,0
u229982,9443,0
u18951,9443,250
u1056565,9443,0
u9230,9443,0
u777054,9443,0
u23058,9443,125
u17460,9443,125
u24766,9443,0
u413034,9443,0
u1073168,9443,0
u823254,9443,0
u503605,9443,0
u115522,9443,0
u953210,9443,0
u1034026,9443,0
u17442,9443,0
u486314,9443,0
u484236,9443,0
u19952,9443,375
u24454,9443,500
u18463,9443,250
u550,9443,250
u28728,9443,1250
u17481,9443,125
u7529,9443,375
u956923,9443,125
u653854,9443,500
u16954,9443,0
u833164,9443,0
u21161,9443,0
u9003,9443,1625
u998254,9443,0
u286560,9443,0
u258874,9443,1000
u283774,9443,125
u85253,9443,0
u95886,9443,0
u174326,9443,0
u250044,9443,375
u800160,9443,125
u1054555,9443,0
u623416,9443,0
u977953,9443,250
u726938,9443,0
u199659,9443,500
u217334,9443,250
u570343,9443,0
u2833,9443,2375
u383314,9443,250
u291421,9443,1375
u954037,9443,0
u217152,9443,625
u179620,9443,250
u217598,9443,125
u278844,9443,500
u237274,9443,0
u48874,9443,125
u8408,9443,375
u22509,9443,0
u16483,9443,250
u2793,9443,625
u25569,9443,250
u23246,9443,375
u7290,9443,250
u388976,9443,0
u483645,9443,625
u3278,9443,1125
u17557,9443,500
u3295,9443,500
u21412,9443,500
u13023,9443,500
u17974,9443,625
u955577,9443,250
u17968,9443,125
u20538,9443,125
u126989,9443,250
u255311,9443,125
u104919,9443,0
u165396,9443,0
u183355,9443,0
u703,9443,1125
u100580,9443,0
u189592,9443,125
u646907,9443,250
u695856,9443,0
u38985,9443,1500
u2598,9443,1000
u20904,9443,0
u658409,9443,125
u1300,9443,125
u10830,9443,500
u22180,9443,375
u17980,9443,375
u17071,9443,500
u29006,9443,0
u8807,9443,0
u29504,9443,1625
u574468,9443,0
u8107,9443,1250
u111830,9443,125
u7986,9443,6375
u4758,9443,0
u602,9443,625
u21664,9443,1000
u4543,9443,625
u1030256,9443,0
u164307,9443,1000
u8520,9443,125
u810483,9443,0
u5828,9443,1125
u452313,9443,125
u7423,9443,0
u238237,9443,375
u975858,9443,125
u3824,9443,125
u6349,9443,0
u18583,9443,375
u4902,9443,250
u811277,9443,500
u8555,9443,2875
u466536,9443,0
u15992,9443,125
u240772,9443,1000
u505053,9443,0
u1513,9443,625
u684732,9443,0
u23531,9443,750
u1971,9443,0
u656057,9443,0
u22510,9443,0
u372154,9443,0
u24280,9443,125
u2371,9443,250
u6331,9443,250
u19445,9443,375
u6944,9443,0
u659542,9443,125
u688967,9443,250
u25165,9443,0
u9527,9443,125
u988516,9443,125
u3548,9443,125
u916072,9443,0
u902785,9443,125
u2562,9443,250
u27014,9443,0
u19955,9443,0
u786704,9443,0
u626280,9443,250
u744974,9443,0
u2083,9443,250
u152971,9443,125
u19525,9443,250
u8640,9443,125
u9322,9443,125
u5523,9443,0
u157886,9443,1000
u869564,9443,0
u240559,9443,1250
u1019643,9443,0
u6076,9443,375
u1631,9443,500
u473002,9443,0
u559622,9443,0
u21349,9443,125
u978470,9443,125
u514679,9443,125
u583895,9443,125
u16052,9443,0
u253503,9443,125
u14846,9443,375
u648909,9443,0
u19742,9443,875
u1030898,9443,0
u72811,9443,125
u321036,9443,0
u762480,9443,0
u764040,9443,0
u7106,9443,2125
u670412,9443,0
u17707,9443,250
u761698,9443,125
u39248,9443,125
u691399,9443,125
u1021716,9443,125
u741,9443,1000
u149303,9443,1500
u1041,9443,375
u1011241,9443,0
u287478,9443,125
u831531,9443,250
u128,9443,625
u17501,9443,0
u562401,9443,0
u345572,9443,125
u658563,9443,0
u5265,9443,125
u18952,9443,0
u928419,9443,1250
u710626,9443,0
u276767,9443,0
u200060,9443,0
u994,9443,625
u184345,9443,0
u243312,9443,125
u743088,9443,875
u736734,9443,1250
u243431,9443,0
u1680,9443,1125
u112435,9443,0
u389350,9443,125
u184358,9443,125
u20448,9443,125
u906831,9443,250
u5525,9443,125
u18450,9443,6500
u12790,9443,375
u24970,9443,0
u3234,9443,125
u6359,9443,250
u854923,9443,0
u400723,9443,0
u360560,9443,0
u387312,9443,0
u1065795,9443,0
u12395,9443,1375
u654834,9443,1375
u649358,9443,250
u232730,9443,250
u6854,9443,125
u1620,9443,375
u548,9443,500
u978625,9443,0
u7358,9443,250
u5284,9443,250
u14847,9443,625
u942877,9443,125
u16491,9443,125
u569572,9443,125
u812996,9443,0
u905860,9443,500
u939940,9443,0
u7871,9443,0
u217989,9443,875
u222185,9443,250
u646070,9443,0
u39811,9443,750
u561267,9443,125
u703495,9443,0
u628596,9443,500
u785530,9443,0
u1958,9443,1500
u827875,9443,125
u489994,9443,0
u5157,9443,0
u4537,9443,625
u918778,9443,0
u26157,9443,1375
u696611,9443,0
u22735,9443,125
u26670,9443,250
u8030,9443,250
u21450,9443,250
u196758,9443,0
u6497,9443,125
u16477,9443,250
u23268,9443,0
u2384,9443,125
u733204,9443,875
u508699,9443,0
u3729,9443,250
u22066,9443,0
u14724,9443,250
u481710,9443,0
u21649,9443,375
u784352,9443,0
u23650,9443,625
u12743,9443,250
u961361,9443,875
u748646,9443,125
u148722,9443,250
u177462,9443,125
u24190,9443,125
u845135,9443,250
u2716,9443,625
u6734,9443,125
u419816,9443,0
u866296,9443,0
u617110,9443,125
u29609,9443,375
u1801,9443,125
u38509,9443,250
u405,9443,750
u848819,9443,0
u93518,9443,125
u219517,9443,0
u1073759,9443,0
u8613,9443,500
u856126,9443,1375
u6845,9443,125
u770665,9443,0
u21558,9443,0
u14790,9443,125
u840961,9443,0
u38034,9443,250
u4011,9443,125
u239287,9443,2375
u99531,9443,2750
u17854,9443,250
u3171,9443,125
u23818,9443,125
u269474,9443,0
u24052,9443,1500
u1831,9443,875
u34772,9443,125
u832933,9443,0
u915510,9443,125
u6549,9443,500
u1095,9443,1125
u444385,9443,0
u6173,9443,250
u238213,9443,125
u5172,9443,250
u16791,9443,125
u824,9443,375
u26426,9443,625
u485149,9443,0
u10719,9443,125
u547455,9443,250
u555080,9443,0
u656582,9443,0
u486081,9443,0
u12233,9443,875
u283925,9443,750
u454830,9443,0
u439890,9443,0
u357352,9443,0
u190602,9443,0
u1059371,9443,125
u1044971,9443,125
u733019,9443,0
u867851,9443,0
u5536,9443,750
u1010160,9443,125
u66257,9443,0
u844052,9443,0
u417481,9443,0
u1022176,9443,0
u855507,9443,0
u1021156,9443,0
u26958,9443,125
u780278,9443,0
u91440,9443,0
u1297,9443,2500
u340505,9443,0
u501325,9443,125
u569955,9443,0
u497896,9443,0
u383457,9443,0
u90904,9443,0
u565405,9443,0
u25198,9443,875
u899400,9443,0
u710999,9443,0
u1061268,9443,0
u516043,9443,0
u914141,9443,125
u406775,9443,0
u475080,9443,0
u13577,9443,250
u637708,9443,0
u186534,9443,0
u334369,9443,0
u25341,9443,750
u125778,9443,0
u42720,9443,375
u25133,9443,0
u8238,9443,875
u821211,9443,125
u19341,9443,375
u207044,9443,19875
u230586,9443,625
u22583,9443,250
u16704,9443,1500
u829404,9443,125
u1058528,9443,125
u781489,9443,250
u16596,9443,375
u6346,9443,375
u1008085,9443,0
u935062,9443,0
u85830,9443,0
u698555,9443,125
u217468,9443,125
u4842,9443,500
u6381,9443,125
u23780,9443,0
u614350,9443,0
u488146,9443,0
u863136,9443,0
u734031,9443,0
u885735,9443,375
u6152,9443,1125
u3632,9443,250
u15161,9443,125
u287350,9443,0
u307751,9443,0
u783410,9443,0
u840779,9443,0
u769573,9443,0
u663748,9443,0
u712577,9443,0
u145364,9443,0
u921774,9443,125
u1035166,9443,0
u26638,9443,125
u25668,9443,125
u623499,9443,0
u273894,9443,250
u1054502,9443,0
u133030,9443,0
u1010387,9443,0
u852907,9443,0
u516495,9443,125
u594738,9443,0
u716720,9443,0
u118111,9443,0
u99033,9443,0
u94624,9443,125
u665602,9443,0
u759354,9443,125
u278017,9443,0
u197266,9443,125
u251755,9443,500
u488449,9443,0
u197235,9443,0
u25022,9443,500
u130032,9443,250
u113609,9443,0
u955792,9443,0
u632416,9443,125
u703398,9443,125
u1070879,9443,0
u16688,9443,0
u12737,9443,375
u63187,9443,250
u23964,9443,250
u218034,9443,375
u181959,9443,125
u123944,9443,750
u710664,9443,0
u884170,9443,0
u903542,9443,0
u772614,9443,0
u879538,9443,0
u242765,9443,625
u216153,9443,0
u25666,9443,0
u906969,9443,125
u477937,9443,0
u557424,9443,0
u639572,9443,0
u604911,9443,0
u291146,9443,750
u547955,9443,0
u127846,9443,375
u181218,9443,375
u694014,9443,250
u1052321,9443,0
u218174,9443,0
u833002,9443,0
u867966,9443,0
u739669,9443,0
u747745,9443,0
u133261,9443,250
u811886,9443,0
u950481,9443,0
u565422,9443,0
u165183,9443,250
u54781,9443,250
u126467,9443,500
u937773,9443,0
u910073,9443,0
u97022,9443,0
u840738,9443,0
u776492,9443,0
u509861,9443,0
u296287,9443,500
u191609,9443,0
u1015003,9443,0
u176060,9443,125
u451195,9443,0
u230477,9443,125
u523488,9443,0
u185108,9443,375
u127577,9443,250
u82504,9443,125
u590865,9443,0
u184946,9443,500
u55400,9443,750
u499655,9443,0
u726993,9443,0
u465710,9443,0
u820616,9443,125
u131402,9443,1000
u166714,9443,375
u179725,9443,0
u155578,9443,0
u71199,9443,750
u104103,9443,125
u835542,9443,0
u676232,9443,0
u644637,9443,0
u575788,9443,0
u351616,9443,250
u443602,9443,0
u318910,9443,0
u124810,9443,0
u983706,9443,0
u106572,9443,0
u864352,9443,0
u82622,9443,125
u883540,9443,125
u23264,9443,750
u436299,9443,0
u350772,9443,0
u987572,9443,500
u131345,9443,500
u97714,9443,0
u236284,9443,125
u135168,9443,125
u6438,9443,375
u853061,9443,0
u266872,9443,0
u245564,9443,250
u135661,9443,250
u215418,9443,0
u57410,9443,250
u685229,9443,0
u968483,9443,0
u714854,9443,0
u230585,9443,750
u130249,9443,0
u946442,9443,0
u11550,9443,125
u64094,9443,0
u684408,9443,0
u773284,9443,0
u883959,9443,0
u99287,9443,750
u140522,9443,125
u227542,9443,125
u265050,9443,0
u96358,9443,0
u899296,9443,0
u688747,9443,0
u843595,9443,0
u1036577,9443,0
u712143,9443,125
u259712,9443,500
u198165,9443,250
u11435,9443,250
u622542,9443,0
u1053892,9443,0
u994615,9443,0
u1054761,9443,0
u236419,9443,125
u993885,9443,0
u547944,9443,0
u179645,9443,250
u142278,9443,125
u173580,9443,125
u1075117,9443,0
u867909,9443,0
u731707,9443,0
u933646,9443,0
u798111,9443,0
u689532,9443,0
u933647,9443,0
u77705,9443,0
u870411,9443,0
u880467,9443,0
u828768,9443,0
u59849,9443,250
u97371,9443,0
u191348,9443,0
u275103,9443,125
u292569,9443,125
u134036,9443,250
u368715,9443,0
u696081,9443,0
u482954,9443,0
u236372,9443,125
u238089,9443,0
u293151,9443,125
u18285,9443,375
u850318,9443,125
u964814,9443,0
u691725,9443,0
u401579,9443,0
u163316,9443,250
u891749,9443,0
u592303,9443,125
u118068,9443,500
u19204,9443,250
u950783,9443,0
u648086,9443,0
u464317,9443,875
u13498,9443,0
u992242,9443,0
u888122,9443,0
u817475,9443,0
u389160,9443,0
u948716,9443,125
u134524,9443,250
u175903,9443,125
u237288,9443,750
u261906,9443,250
u127849,9443,625
u127057,9443,0
u683515,9443,0
u54306,9443,125
u2539,9443,125
u17499,9443,0
u8719,9443,1000
u258,9443,2000
u38468,9443,375
u5190,9443,375
u19626,9443,125
u7256,9443,500
u4687,9443,1000
u2449,9443,500
u198452,9443,0
u198969,9443,625
u618960,9443,125
u655859,9443,375
u11178,9443,750
u792303,9443,125
u303211,9443,2500
u174487,9443,125
u18720,9443,750
u491643,9443,875
u15152,9443,1000
u28250,9443,1000
u285409,9443,875
u266165,9443,625
u823709,9443,375
u760703,9443,500
u18825,9443,0
u973577,9443,0
u5029,9443,125
u592585,9443,0
u5475,9443,375
u814919,9443,500
u266312,9443,0
u3243,9443,625
u98207,9443,0
u45689,9443,125
u498697,9443,0
u719641,9443,0
u16775,9443,2000
u137647,9443,0
u151385,9443,1250
u3166,9443,250
u7112,9443,250
u932721,9443,0
u2133,9443,250
u998385,9443,0
u2740,9443,1125
u1058387,9443,0
u430772,9443,0
u972008,9443,125
u36766,9443,625
u8055,9443,500
u29403,9443,125
u29610,9443,1000
u522875,9443,0
u37877,9443,750
u972337,9443,125
u3250,9443,625
u4497,9443,750
u916774,9443,375
u686595,9443,0
u25189,9443,125
u13039,9443,0
u15499,9443,250
u754,9443,125
u23519,9443,375
u781695,9443,250
u718542,9443,125
u687848,9443,125
u708769,9443,125
u428681,9443,0
u582294,9443,125
u874340,9443,0
u896319,9443,875
u851981,9443,250
u1013662,9443,125
u1054557,9443,0
u24121,9443,125
u17107,9443,250
u550190,9443,0
u7892,9443,625
u492552,9443,0
u118871,9443,125
u37868,9443,500
u232264,9443,125
u501640,9443,0
u189209,9443,375
u24285,9443,1375
u327480,9443,0
u655660,9443,0
u416424,9443,125
u877453,9443,0
u916935,9443,125
u1031306,9443,0
u556668,9443,0
u230589,9443,0
u460607,9443,125
u191472,9443,0
u259922,9443,1000
u1051646,9443,0
u17125,9443,1125
